BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
1088961,20,Hudson Yards,10001,Manhattan,Active,3,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261142,1007027501,-73.99983,40.753992,104,3,9903,MN0401
1088961,20,Hudson Yards,10001,Manhattan,Active,3,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261151,1007027501,-73.99983,40.753992,104,3,9903,MN0401
1089722,555,10 Avenue,10036,Manhattan,Active,1,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261160,1010697501,-73.996105,40.758778,104,3,11700,MN0401
1089722,555,10 Avenue,10036,Manhattan,Active,1,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261170,1010697501,-73.996105,40.758778,104,3,11700,MN0401
1089862,509,West 29 Street,10001,Manhattan,Active,2,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261189,1007017502,-74.001159,40.752125,104,3,9902,MN0401
1089862,509,West 29 Street,10001,Manhattan,Active,2,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261198,1007017502,-74.001159,40.752125,104,3,9902,MN0401
1022568,1450,Broadway,10018,Manhattan,Active,2,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261207,1009930047,-73.98666,40.754927,105,4,11300,MN0502
1015808,31,West   31 Street,10001,Manhattan,Active,1,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2020,12/27/2021,871261216,1008330022,-73.987329,40.747132,105,3,7600,MN0501
1015808,31,West   31 Street,10001,Manhattan,Active,1,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261225,1008330022,-73.987329,40.747132,105,3,7600,MN0501
3002094,26,Court Street,11242,Brooklyn,Active,2,NYC Health Department Audit,2021,AH7D,NYCHC 141.07(b),"Failure to inspect drinking water tank, including testing water for bacteriological content.",2019,12/27/2021,871261234,3002500001,-73.99066,40.693244,302,33,900,BK0201
